Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
United Kingdom,GBR,1781,16.843408,16.843408,0,0,,0,,
United Kingdom,GBR,1782,16.847072,16.847072,0,0,,0,,
United Kingdom,GBR,1783,16.8544,16.8544,0,0,,0,,
United Kingdom,GBR,1784,16.858064,16.858064,0,0,,0,,
United Kingdom,GBR,1785,16.865392,16.865392,0,0,,0,,
United Kingdom,GBR,1786,19.148064,19.148064,0,0,,0,,
United Kingdom,GBR,1787,19.155392,19.155392,0,0,,0,,
United Kingdom,GBR,1788,19.159056,19.159056,0,0,,0,,
United Kingdom,GBR,1789,19.166384,19.166384,0,0,,0,,
United Kingdom,GBR,1790,19.173712,19.173712,0,0,,0,,
United Kingdom,GBR,1791,21.41608,21.41608,0,0,,0,,
United Kingdom,GBR,1792,21.423408,21.423408,0,0,,0,,
United Kingdom,GBR,1793,21.430736,21.430736,0,0,,0,,
United Kingdom,GBR,1794,21.4344,21.4344,0,0,,0,,
United Kingdom,GBR,1795,21.441728,21.441728,0,0,,0,,
United Kingdom,GBR,1796,22.412688,22.412688,0,0,,0,,
United Kingdom,GBR,1797,23.5412,23.5412,0,0,,0,,
United Kingdom,GBR,1798,24.515824,24.515824,0,0,,0,,
United Kingdom,GBR,1799,25.798224,25.798224,0,0,,0,,
United Kingdom,GBR,1800,26.633616,26.633616,0,0,,0,,
United Kingdom,GBR,1801,26.71056,26.71056,0,0,,0,,
United Kingdom,GBR,1802,26.849792,26.849792,0,0,,0,,
United Kingdom,GBR,1803,30.19136,30.19136,0,0,,0,,
United Kingdom,GBR,1804,30.330592,30.330592,0,0,,0,,
United Kingdom,GBR,1805,31.462768,31.462768,0,0,,0,,
United Kingdom,GBR,1806,33.2508,33.2508,0,0,,0,,
United Kingdom,GBR,1807,33.258128,33.258128,0,0,,0,,
United Kingdom,GBR,1808,33.26912,33.26912,0,0,,0,,
United Kingdom,GBR,1809,33.280112,33.280112,0,0,,0,,
United Kingdom,GBR,1810,33.291104,33.291104,0,0,,0,,
United Kingdom,GBR,1811,35.562784,35.562784,0,0,,0,,
United Kingdom,GBR,1812,36.936784,36.936784,0,0,,0,,
United Kingdom,GBR,1813,37.376464,37.376464,0,0,,0,,
United Kingdom,GBR,1814,38.08728,38.08728,0,0,,0,,
United Kingdom,GBR,1815,38.922672,38.922672,0,0,,0,,
United Kingdom,GBR,1816,41.436176,41.436176,0,0,,0,,
United Kingdom,GBR,1817,41.923488,41.923488,0,0,,0,,
United Kingdom,GBR,1818,42.022416,42.022416,0,0,,0,,
United Kingdom,GBR,1819,42.33752,42.33752,0,0,,0,,
United Kingdom,GBR,1820,42.528048,42.528048,0,0,,0,,2.002356
United Kingdom,GBR,1821,42.872464,42.872464,0,0,,0,,1.989349
United Kingdom,GBR,1822,44.521264,44.521264,0,0,,0,,2.039266
United Kingdom,GBR,1823,46.873552,46.873552,0,0,,0,,2.119345
United Kingdom,GBR,1824,49.082944,49.082944,0,0,,0,,2.190518
United Kingdom,GBR,1825,49.59224,49.59224,0,0,,0,,2.184873
United Kingdom,GBR,1826,50.145504,50.145504,0,0,,0,,2.180619
United Kingdom,GBR,1827,52.23032,52.23032,0,0,,0,,2.244052
United Kingdom,GBR,1828,52.589392,52.589392,0,0,,0,,2.232147
United Kingdom,GBR,1829,53.336848,53.336848,0,0,,0,,2.236627
United Kingdom,GBR,1830,67.864608,67.864608,0,0,,0,,2.811409
United Kingdom,GBR,1831,65.765136,65.765136,0,0,,0,,2.691652
United Kingdom,GBR,1832,65.589264,65.589264,0,0,,0,,2.657157
United Kingdom,GBR,1833,65.494,65.494,0,0,,0,,2.626378
United Kingdom,GBR,1834,65.537968,65.537968,0,0,,0,,2.601332
United Kingdom,GBR,1835,65.263168,65.263168,0,0,,0,,2.564167
United Kingdom,GBR,1836,76.445696,76.445696,0,0,,0,,2.972806
United Kingdom,GBR,1837,73.770976,73.770976,0,0,,0,,2.840842
United Kingdom,GBR,1838,75.811824,75.811824,0,0,,0,,2.891043
United Kingdom,GBR,1839,77.779392,77.779392,0,0,,0,,2.936955
United Kingdom,GBR,1840,80.959744,80.959744,0,0,,0,,3.027098
United Kingdom,GBR,1841,81.839104,81.839104,0,0,,0,,3.030629
United Kingdom,GBR,1842,85.3712,85.3712,0,0,,0,,3.129787
United Kingdom,GBR,1843,89.093824,89.093824,0,0,,0,,3.23848
United Kingdom,GBR,1844,93.472304,93.472304,0,0,,0,,3.364128
United Kingdom,GBR,1845,99.986896,99.986896,0,0,,0,,3.565866
United Kingdom,GBR,1846,95.692688,95.692688,0,0,,0,,3.384716
United Kingdom,GBR,1847,103.548304,103.548304,0,0,,0,,3.682634
United Kingdom,GBR,1848,109.286128,109.286128,0,0,,0,,3.94777
United Kingdom,GBR,1849,116.005904,116.005904,0,0,,0,,4.229316
United Kingdom,GBR,1850,122.604768,122.604768,0,0,,0,,4.510679
United Kingdom,GBR,1851,116.654432,116.654432,0,0,,0,,4.329354
United Kingdom,GBR,1852,116.2404,116.2404,0,0,,0,,4.293116
United Kingdom,GBR,1853,115.5992,115.5992,0,0,,0,,4.242484
United Kingdom,GBR,1854,139.301616,139.301616,0,0,,0,,5.07548
United Kingdom,GBR,1855,130.442064,130.442064,0,0,,0,,4.70961
United Kingdom,GBR,1856,140.375168,140.375168,0,0,,0,,5.017341
United Kingdom,GBR,1857,137.861664,137.854336,0.007328,0,,0,,4.89114
United Kingdom,GBR,1858,135.113664,135.102672,0.010992,0,,0,,4.753841
United Kingdom,GBR,1859,150.011488,150.007824,0.003664,0,,0,,5.234176
United Kingdom,GBR,1860,167.950432,167.950432,0,0,,0,,5.813848
United Kingdom,GBR,1861,175.0476,175.043936,0.003664,0,,0,,6.009599
United Kingdom,GBR,1862,169.470992,169.408704,0.062288,0,,0,,5.764123
United Kingdom,GBR,1863,180.224832,180.136896,0.087936,0,,0,,6.082512
United Kingdom,GBR,1864,193.909872,193.858575,0.051297,0,,0,,6.497885
United Kingdom,GBR,1865,205.488112,205.451472,0.03664,0,,0,,6.829343
United Kingdom,GBR,1866,211.731568,211.654624,0.076944,0,,0,,6.984383
United Kingdom,GBR,1867,217.374128,217.319168,0.05496,0,,0,,7.110236
United Kingdom,GBR,1868,213.219152,213.167856,0.051296,0,,0,,6.9126
United Kingdom,GBR,1869,223.70552,223.639568,0.065952,0,,0,,7.186864
United Kingdom,GBR,1870,228.494368,228.410097,0.084271,0,,0,,7.276891
United Kingdom,GBR,1871,242.036512,241.930256,0.106256,0,,0,,7.638836
United Kingdom,GBR,1872,254.988752,254.911808,0.076944,0,,0,,7.999898
United Kingdom,GBR,1873,264.658048,264.460192,0.197856,0,,0,,8.225069
United Kingdom,GBR,1874,257.187152,256.930672,0.25648,0,,0,,7.913207
United Kingdom,GBR,1875,271.487744,271.253251,0.234493,0,,0,,8.267235
United Kingdom,GBR,1876,271.018752,270.718304,0.300448,0,,0,,8.163215
United Kingdom,GBR,1877,275.8992,275.492496,0.406704,0,,0,,8.217155
United Kingdom,GBR,1878,270.974784,270.612048,0.362736,0,,0,,7.985818
United Kingdom,GBR,1879,272.645568,272.128944,0.516624,0,,0,,7.947924
United Kingdom,GBR,1880,297.124752,296.659424,0.465328,0,,0,,8.581716
